Player,School,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,round,overall,year
Cody Ford,Oklahoma,OT,76,329,5.21,28.5,19,104,8.27,4.87,1,38,2019
Cody Hoffman,BYU,WR,76,223,4.65,27.5,13,108,6.89,4.2,0,,
Cody Prewitt,Mississippi,S,74,208,4.6,35,11,125,7.12,4.23,0,,
Cody Thompson,Toledo,WR,73,205,4.57,38.5,19,119,6.87,4.03,0,,
Cody Whitehair,Kansas State,OT,76,301,5.02,25.5,16,110,7.32,4.58,1,56,2016
Colby Gossett,Appalachian State,OG,77,311,5.2,25,32,103,7.6,4.83,1,213,2018
Colby Parkinson,Stanford,TE,79,252,4.77,32.5,18,109,7.15,4.46,1,133,2020
Cole Banwart,Iowa,OL,73,298,5.12,27.5,22,103,7.5,4.7,0,,
Cole Madison,Washington State,OL,77,308,5.33,28.5,26,97,7.86,4.88,1,138,2018
Cole Toner,Harvard,OT,77,306,5.32,26,22,103,7.88,4.59,1,170,2016
Cole Van Lanen,Wisconsin,OL,76,305,5.11,30,22,107,7.34,4.64,1,214,2021
Colton McKivitz,West Virginia,OL,78,306,5.35,26,20,106,7.87,5,1,153,2020
Connor Harris,Lindenwood,ILB,71,242,4.73,33,18,114,7.13,4.31,0,,
Connor McGovern,Missouri,OG,76,306,5.11,33,33,109,7.5,4.65,1,144,2016
Connor Wedington,Stanford,WR,73,196,4.47,38.5,13,117,6.66,4.07,0,,
Connor Williams,Texas,OT,77,296,5.05,34,26,112,7.83,4.63,1,50,2018
Connor Wujciak,Boston Col.,DT,74,291,4.91,34.5,22,117,7.32,4.27,0,,
Conor Boffeli,Iowa,OG,76,298,5.3,25,21,101,7.44,4.61,0,,
Cordel Iwuagwu,TCU,OL,75,309,5.22,27,25,94,8.03,4.87,0,,
Cordrea Tankersley,Clemson,CB,73,199,4.4,29.5,13,121,7,4.32,1,97,2017
Cordy Glenn,Georgia,OT,78,345,5.08,23.5,31,93,8.13,5,1,41,2012
Corey Ballentine,Washburn,CB,71,196,4.47,39.5,15,135,6.82,4.14,1,180,2019
Corey Dauphine,Tulane,RB,71,198,4.71,30,14,117,7.4,4.53,0,,
Corey Lemonier,Auburn,DE,75,255,4.6,33,27,119,7.14,4.4,1,88,2013
Corey Levin,Tenn-Chattanooga,OG,76,307,5.16,26.5,26,106,7.55,4.73,1,217,2017
Corey Straughter,La-Monroe,CB,70,184,4.62,35,11,117,7.37,4.58,0,,
Corey White,Samford,S,71,206,4.53,37.5,15,126,6.72,4.22,1,162,2012
Cornell Powell,Clemson,WR,73,204,4.53,36.5,16,128,7.03,4.21,1,181,2021
Cory Grissom,South Florida,DT,73,306,5.31,27.5,22,97,7.79,4.81,0,,
Cory Harkey,UCLA,TE,76,260,5.06,26.5,13,109,7.4,4.69,0,,
Coty Sensabaugh,Clemson,CB,71,189,4.33,37,15,122,6.6,4.06,1,115,2012
Courtland Sutton,SMU,WR,75,218,4.54,35.5,18,124,6.57,4.11,1,40,2018
Craig Loston,LSU,S,73,217,4.65,32.5,12,119,7.15,4.35,0,,
Craig Mager,Texas State,CB,71,201,4.44,38,17,130,6.83,4.07,1,83,2015
Creed Humphrey,Oklahoma,OL,76,302,5.11,33,29,112,7.5,4.49,1,63,2021
Curtis Robinson,Stanford,LB,75,236,4.6,37.5,22,117,7,4.26,0,,
Curtis Samuel,Ohio State,WR,71,196,4.31,37,18,119,7.09,4.33,1,40,2017
Cyhl Quarles,Wake Forest,S,73,213,4.54,32.5,19,119,7.21,4.32,0,,
Cyril Richardson,Baylor,OG,77,329,5.36,25.5,25,91,7.7,4.83,1,153,2014
Cyrus Jones,Alabama,CB,70,197,4.49,33,10,116,6.71,4.21,1,60,2016
Cyrus Kouandjio,Alabama,OT,79,322,5.59,27.5,21,96,7.71,4.84,1,44,2014
D.J. Foster,Arizona State,WR,70,193,4.57,35.5,14,117,6.75,4.07,0,,
D.J. Harper,Boise State,RB,69,211,4.52,33.5,23,120,7.07,4.35,0,,
D.J. Humphries,Florida,OT,77,307,5.12,31,26,104,7.87,4.64,1,24,2015
D.J. Jones,Akron,DT,73,319,5.04,28.5,25,108,7.73,4.65,1,198,2017
D.J. Moore,Maryland,WR,73,210,4.42,39.5,15,132,6.95,4.07,1,24,2018
D.J. Pettway,Alabama,DE,74,265,4.99,28,17,108,7.74,4.69,0,,
D.J. Reader,Clemson,DT,75,327,5.33,29.5,30,99,7.9,4.71,1,166,2016
D.J. Swearinger,South Carolina,S,70,208,4.67,37,17,124,6.7,4.11,1,57,2013
D.J. White,Georgia Tech,CB,71,193,4.49,33,17,132,7.18,4.33,1,178,2016
D.J. Wonnum,South Carolina,DL,77,258,4.73,34.5,20,123,7.25,4.44,1,117,2020
D.K. Metcalf,Mississippi,WR,75,228,4.33,40.5,27,134,7.38,4.5,1,64,2019
Dadi Nicolas,Virginia Tech,DE,75,235,4.74,41,14,116,7.04,4.38,1,203,2016
Daelin Hayes,Notre Dame,DL,75,253,4.71,32.5,26,119,7.17,4.29,1,171,2021
Daeshon Hall,Texas A&M,DE,77,266,4.76,36,18,123,7.03,4.38,1,77,2017
Dakota Allen,Texas Tech,LB,73,232,4.77,31.5,23,116,6.88,4.04,1,251,2019
Dakota Dozier,Furman,OG,76,313,5.42,24,23,101,8.14,4.89,1,137,2014
Dalton Keene,Virginia Tech,TE,76,253,4.71,34,21,125,7.07,4.19,1,101,2020
Dalton Risner,Kansas State,OT,77,312,5.3,28.5,23,110,7.69,4.52,1,41,2019
Dalton Schultz,Stanford,TE,77,244,4.75,32,15,120,7,4.4,1,137,2018
Dalvin Cook,Florida State,RB,70,210,4.49,30.5,22,116,7.27,4.53,1,41,2017
Damar Hamlin,Pittsburgh,CB,73,200,4.6,35,18,118,6.93,4.4,1,212,2021
Damarious Randall,Arizona State,S,71,196,4.46,38,14,120,6.83,4.07,1,30,2015
Damarkus Lodge,Mississippi,WR,74,202,4.55,33.5,11,119,7.06,4.53,0,,
Damian Copeland,Louisville,WR,71,184,4.5,40,12,120,6.53,3.9,0,,
Damien Williams,Oklahoma,RB,71,222,4.45,35.5,16,121,7.37,4.25,0,,
Damien Wilson,Minnesota,ILB,73,245,4.77,37,22,119,7.21,4.2,1,127,2015
Damonte Coxie,Memphis,WR,74,198,4.77,30.5,4,122,6.92,4.45,0,,
Dan Archibong,Temple,DT,77,295,5.35,28.5,28,100,8.16,4.68,0,,
Dan Feeney,Indiana,OG,76,305,5.24,28,26,101,7.52,4.68,1,71,2017
Dan Godsil,Indiana,LS,76,241,5,34.5,16,118,7.56,4.55,0,,
Dan Herron,Ohio State,RB,70,213,4.57,35,22,117,6.97,4.04,1,191,2012
Dan Vitale,Northwestern,FB,73,239,4.6,38.5,30,123,7.12,4.12,1,197,2016
Dane Cruikshank,Arizona,S,73,206,4.41,38.5,25,121,6.89,4.24,1,152,2018
Daniel Crawford,Northern Illinois,TE,73,245,4.7,32.5,14,113,7.19,4.45,0,,
Daniel Lasco,California,RB,73,209,4.46,41.5,23,135,7.22,4.26,1,237,2016
Daniel Sorensen,BYU,S,73,205,4.67,32,13,114,6.47,3.95,0,,
Daniel Wise,Kansas,DL,75,281,5.28,27.5,22,112,7.53,4.37,0,,
Danny Coale,Virginia Tech,WR,73,201,4.42,35,12,115,6.69,4.15,1,152,2012
Danny Isidora,Miami (FL),OG,75,306,5.03,29,26,94,8.13,4.9,1,180,2017
Danny Pinter,Ball State,OL,76,306,4.91,29.5,24,110,7.76,4.62,1,149,2020
Danny Shelton,Washington,DT,74,339,5.64,30.5,34,95,7.99,4.65,1,12,2015
Dante Fowler,Florida,OLB,75,261,4.6,32.5,19,112,7.4,4.32,1,3,2015
Dante Olson,Montana,LB,74,237,4.88,42,15,124,7,4.32,0,,
DAnte Smith,Arizona,LB,77,305,5.29,29,24,113,7.96,4.81,0,,
D'Ante Smith,East Carolina,OL,77,305,5.29,29,24,113,7.96,4.81,0,,
DaQuan Jones,Penn State,DT,76,322,5.35,27.5,25,101,7.73,4.78,1,112,2014
Dare Ogunbowale,Wisconsin,RB,71,213,4.65,35,14,120,6.99,4.34,0,,
Darian Thompson,Boise State,S,74,208,4.69,32.5,12,118,7.26,4.33,1,71,2016
Da'Rick Rogers,Tennessee Tech,WR,74,217,4.5,39.5,10,132,6.71,4.06,0,,
Darius Fleming,Notre Dame,OLB,74,245,4.71,33.5,27,114,7.03,4.28,1,165,2012
Darius Harper,Cincinnati,OL,78,300,5.05,30.5,16,105,7.7,4.54,0,,
Darius Hodge,Marshall,DL,73,248,4.73,38.5,26,127,7.16,4.67,0,,
Darius Slay,Mississippi State,CB,73,192,4.36,35.5,14,124,6.9,4.21,1,36,2013
Darius Slayton,Auburn,WR,73,190,4.39,40.5,11,135,7,4.15,1,171,2019
Darius Stills,West Virginia,DL,73,278,4.98,32.5,23,110,7.18,4.49,0,,
Darnell Savage,Maryland,S,71,198,4.36,39.5,11,126,7.03,4.14,1,21,2019
Da'Ron Brown,Northern Illinois,WR,73,205,4.54,37,17,120,7.04,4.11,1,233,2015
Daron Payne,Alabama,DT,74,311,4.95,28.5,27,107,7.58,4.71,1,13,2018
Darrell Daniels,Washington,TE,75,247,4.55,32,17,116,7.09,4.47,0,,
Darrell Greene,San Diego State,OG,75,321,5.2,21.5,28,98,8.07,4.98,0,,
Darren Hall,San Diego St.,CB,71,188,4.47,38.5,16,132,7.07,4.28,1,108,2021
Darren Waller,Georgia Tech,WR,78,238,4.46,37,12,125,7.07,4.25,1,204,2015
Darrick Forrest,Cincinnati,S,71,206,4.42,39,21,132,6.91,4.23,1,163,2021
Darrion Daniels,Nebraska,DL,75,311,5.18,27,21,109,7.75,4.93,0,,
Darron Lee,Ohio State,OLB,73,232,4.47,35.5,17,133,7.12,4.2,1,20,2016
Darron Thomas,Oregon,QB,75,220,4.77,36,14,121,7.17,4.28,0,,
Darryl Williams,Mississippi State,OL,74,304,5.23,25.5,23,102,7.88,4.76,0,,
Daryl Worley,West Virginia,CB,73,204,4.64,35.5,14,123,6.98,4.15,1,77,2016
Dashawn Hand,Alabama,DE,76,297,4.83,31.5,28,111,7.98,4.62,0,,
Datone Jones,UCLA,DE,76,283,4.8,31.5,29,112,7.32,4.32,1,26,2013
Davante Adams,Fresno State,WR,73,212,4.56,39.5,14,123,6.82,4.3,1,53,2014
Davante Davis,Texas,CB,74,202,4.57,37,14,125,6.76,4.15,0,,
David Bakhtiari,Colorado,OT,76,299,5.18,25.5,28,101,7.7,4.74,1,109,2013
David Bass,Missouri Western State,DE,76,262,4.84,30.5,20,111,7.07,4.33,1,233,2013
David DeCastro,Stanford,OG,77,316,5.32,29.5,34,98,7.3,4.56,1,24,2012
David Johnson,New Mexico,RB,73,224,4.5,41.5,25,127,6.82,4.27,1,86,2015
David Long,Michigan,CB,71,196,4.45,39.5,15,120,6.45,3.97,1,79,2019
David Njoku,Miami (FL),TE,76,246,4.64,37.5,21,133,6.97,4.34,1,29,2017
David Paulson,Oregon,TE,75,246,4.79,32,21,110,7.18,4.4,1,240,2012
David Quessenberry,San Jose State,OT,77,302,5.08,29.5,25,112,7.49,4.45,1,176,2013
David Sharpe,Florida,OT,78,343,5.44,20.5,19,97,7.87,4.78,1,129,2017
David Sills,West Virginia,WR,75,211,4.57,37.5,14,117,6.97,4.28,0,,
David Wells,San Diego State,TE,78,256,4.75,33,20,116,7.5,4.59,0,,
David Woodward,Utah State,LB,74,230,4.79,33.5,16,114,7.34,4.37,0,,
David Yankey,Stanford,OG,78,315,5.48,28.5,22,103,7.81,4.86,1,145,2014
Davin Meggett,Maryland,RB,68,211,4.5,35,23,118,7.14,4.32,0,,
Davion Taylor,Colorado,LB,73,228,4.49,35,21,127,6.96,4.26,1,103,2020
Davontae Harris,Illinois State,CB,73,200,4.43,32.5,22,123,6.96,4.4,1,151,2018
Dax Raymond,Utah State,TE,77,255,4.73,32,15,109,7.15,4.39,0,,
Daylon Mack,Texas A&M,DL,73,336,5.1,27,30,102,8.02,4.95,1,160,2019
Dazz Newsome,North Carolina,WR,70,190,4.59,34,12,121,7.38,4.38,1,221,2021
Deadrin Senat,South Florida,DT,73,314,5.16,26,35,100,7.77,4.79,1,90,2018
Dean Lowry,Northwestern,DE,78,296,4.87,32.5,30,114,7.26,4.38,1,137,2016
Dean Marlowe,James Madison,S,73,203,4.58,33.5,16,114,7,4.18,0,,
Deandre Houston-Carson,William & Mary,S,73,201,4.54,32.5,13,115,7.15,4.28,1,185,2016
DeAndre Presley,Appalachian State,CB,70,185,4.53,32,8,114,7.19,4.28,0,,
Deandre Washington,Texas Tech,RB,68,204,4.49,34.5,24,116,7.03,4.2,1,143,2016
Dedrick Mills,Nebraska,RB,69,217,4.65,32.5,13,117,7.06,4.35,0,,
Dee Delaney,Miami (FL),CB,73,194,4.46,32.5,13,120,6.95,4.25,0,,
Deebo Samuel,South Carolina,WR,71,214,4.48,39,15,122,7.03,4.14,1,36,2019
Deion Calhoun,Mississippi State,OL,74,310,5.07,28.5,26,105,7.46,4.62,0,,
Delano Hill,Michigan,S,73,216,4.47,33.5,17,115,6.96,4.27,1,95,2017
Delano Howell,Stanford,S,71,210,4.61,33,21,120,6.97,4.15,0,,
Demarcus Christmas,Florida State,DL,75,294,5.08,25.5,22,101,8.13,5.07,1,209,2019
Demarcus Lawrence,Boise State,DE,75,251,4.8,34.5,20,113,7.46,4.31,1,34,2014
Demario Davis,Arkansas State,OLB,74,235,4.49,38.5,32,124,7.19,4.28,1,77,2012
Demetri Goodson,Baylor,CB,71,194,4.52,37,11,123,6.8,4.34,1,197,2014
Demetrius McCray,Appalachian State,CB,73,187,4.54,36,4,126,7.17,4.32,1,210,2013
Dennis Daley,South Carolina,OT,77,317,5.23,26.5,20,103,7.95,4.92,1,212,2019
Denver Kirkland,Arkansas,OT,76,335,5.55,22.5,19,94,8.72,5.06,0,,
Denzel Mims,Baylor,WR,75,207,4.38,38.5,16,131,6.66,4.43,1,59,2020
Deommodore Lenoir,Oregon,CB,70,199,4.48,34.5,15,121,7.02,4.35,1,172,2021
Deon Cain,Clemson,WR,74,202,4.43,33.5,11,115,6.71,4.37,1,185,2018
Deon Jackson,Duke,RB,71,218,4.41,36,18,123,7.15,4.37,0,,
Deon Long,Maryland,WR,73,192,4.51,34,12,120,6.98,4.27,0,,
Deon Simon,NW State (LA),DT,76,321,5.12,29.5,35,105,7.92,4.76,1,223,2015
Deone Bucannon,Washington State,S,73,211,4.49,36.5,19,125,6.96,4.26,1,27,2014
Derek Rivers,Youngstown State,DE,76,248,4.61,35,30,123,6.94,4.4,1,83,2017
Derek Wolfe,Cincinnati,DT,77,295,4.93,33.5,33,108,7.26,4.44,1,36,2012
Derrek Tuszka,North Dakota State,DL,76,251,4.79,33.5,24,120,6.87,4.34,1,254,2020
Derrick Brown,Auburn,DL,77,326,5.16,27,28,108,8.22,4.79,1,7,2020
Derrick Henry,Alabama,RB,75,247,4.54,37,22,130,7.2,4.38,1,45,2016
Derrick Lott,Tenn-Chattanooga,DT,76,314,4.99,26.5,30,106,7.3,4.44,0,,
Derrick Nnadi,Florida State,DT,73,317,5.38,27,25,96,8.15,5.02,1,75,2018
Derrick Shelby,Utah,DE,75,266,4.87,35.5,26,116,7.09,4.5,0,,
Devante Bond,Oklahoma,OLB,73,235,4.7,37.5,21,121,7.07,4.36,1,183,2016
Devante Davis,UNLV,WR,75,220,4.57,35.5,16,115,7.25,4.12,0,,
DeVier Posey,Ohio State,WR,74,211,4.39,36.5,14,123,7.03,4.15,1,68,2012
Devin Bush,Michigan,LB,71,234,4.43,40.5,21,124,6.93,4.23,1,10,2019
Devin Singletary,Florida Atlantic,RB,67,203,4.66,35,15,117,7.32,4.4,1,74,2019
Devin Taylor,South Carolina,DE,79,266,4.72,35,14,128,6.89,4.3,1,132,2013
Devin White,LSU,LB,73,237,4.42,39.5,22,118,7.07,4.17,1,5,2019
Devine Redding,Indiana,RB,68,205,4.76,30.5,16,116,7.18,4.46,0,,
Devon Cajuste,Stanford,WR,76,234,4.62,36,12,123,6.49,4.2,0,,
Devon Johnson,Ferris State,OT,79,338,5.16,27.5,26,89,8.34,5.28,0,,
Devon Kennard,USC,OLB,75,249,4.7,30,23,113,7.25,4.32,1,174,2014
Devon Key,Western Kentucky,CB,71,208,4.56,38,20,123,7.13,4.15,0,,
Devon Wharton,Western Kentucky,DE,74,215,5.1,30.5,4,115,8.12,4.7,0,,
DeVonte Holloman,South Carolina,OLB,73,243,4.76,33,15,113,7.3,4.26,1,185,2013
DeVontres Dukes,South Florida,WR,75,216,4.81,33,16,122,7.07,4.41,0,,
Dexter Williams,Notre Dame,RB,71,212,4.57,36,17,130,7,4.16,1,194,2019
Dez Lewis,Central Arkansas,WR,76,214,4.58,33.5,16,119,7.11,4.28,0,,
Dezmon Patmon,Washington State,WR,76,225,4.48,36,15,132,7.28,4.38,1,212,2020
Dicaprio Bootle,Nebraska,CB,69,180,4.38,36.5,16,126,6.77,4.03,0,,
Dillon Faamatau,Oklahoma,DL,75,280,5.35,24.5,22,100,8.58,5.15,0,,
Dillon Radunz,North Dakota St.,OT,77,301,5.16,32,24,112,7.27,4.57,1,53,2021
Dillon Stoner,Oklahoma St.,WR,73,194,4.51,37,16,123,6.96,4.13,0,,
Dimitri Flowers,Oklahoma,RB,74,248,4.83,30.5,17,109,7.45,4.53,0,,
Dion Dawkins,Temple,OG,76,314,5.11,26,26,106,7.3,4.78,1,63,2017
Dion Sims,Michigan State,TE,77,262,4.75,35,22,112,7.36,4.52,1,106,2013
Diontae Johnson,Toledo,WR,70,183,4.53,33.5,15,123,7.09,4.45,1,66,2019
Dionte Ruffin,Western Kentucky,CB,70,180,4.54,36.5,8,127,7.05,4.27,0,,
Divine Deablo,Virginia Tech,CB,75,226,4.42,34,19,126,7.12,4.4,1,80,2021
DJ Daniel,Georgia,CB,71,195,4.62,31,11,119,7.02,4.12,0,,
D'Joun Smith,Florida Atlantic,CB,70,187,4.37,36,18,124,6.96,4.26,1,65,2015
Dominique Robertson,West Georgia,OT,77,324,5.36,28.5,30,100,8.42,4.83,0,,
Donald Stephenson,Oklahoma,OT,77,312,4.94,35.5,19,114,7.52,4.78,1,74,2012
Donatella Luckett,Harding,WR,73,211,4.4,34,17,118,7.51,4.5,0,,
Donnie Ernsberger,Western Michigan,RB,75,241,4.78,31,15,114,7.09,4.34,0,,
Donovan Smith,Penn State,OT,78,338,5.27,32,26,109,7.95,4.79,1,34,2015
Donovan Stiner,Florida,CB,73,205,4.56,34.5,15,127,7.08,4.3,0,,
Dontae Johnson,North Carolina State,CB,74,200,4.41,38.5,12,124,6.82,4.24,1,129,2014
Dontari Poe,Memphis,DT,75,346,4.89,29.5,44,105,7.9,4.56,1,11,2012
Donte Moncrief,Mississippi,WR,74,221,4.4,39.5,13,132,7.02,4.3,1,90,2014
Dorance Armstrong,Kansas,EDGE,76,257,4.87,30,20,118,7.12,4.23,1,116,2018
Dorial Green-Beckham,Oklahoma,WR,77,237,4.49,33.5,13,119,6.89,4.45,1,40,2015
Dorian Johnson,Pittsburgh,OG,77,300,5.27,30,21,114,8.39,5.09,1,115,2017
Dorian O'daniel,Clemson,OLB,73,223,4.61,32,21,119,6.64,4.07,1,100,2018
Doug Martin,Boise State,RB,69,223,4.46,36,28,120,6.79,4.16,1,31,2012
Drake Dunsmore,Northwestern,FB,74,241,4.63,35.5,21,117,6.73,4.03,1,233,2012
Drew Dalman,Stanford,C,75,299,5.11,33,33,109,7.33,4.52,1,114,2021
Drew Morgan,Arkansas,WR,73,190,4.74,30,10,112,6.85,4.12,0,,
Drew Wiley,Kansas St.,DT,76,294,5.24,34,24,112,7.34,4.45,0,,
Dri Archer,Kent State,WR,68,173,4.26,38,20,122,6.86,4.06,1,97,2014
Dru Samia,Oklahoma,OT,77,305,5.29,27.5,28,101,7.89,4.7,1,114,2019
Drue Tranquill,Notre Dame,LB,74,234,4.57,37.5,31,122,6.94,4.14,1,130,2019
Duke Ihenacho,San Jose State,S,73,213,4.67,35,20,122,6.78,4.22,0,,
Duke Riley,LSU,OLB,73,232,4.58,34.5,18,122,6.89,4.21,1,75,2017
Duke Williams,Auburn,WR,74,229,4.72,30,14,121,7.43,4.47,0,,
Durham Smythe,Notre Dame,TE,77,253,4.81,31,18,110,7.17,4.23,1,123,2018
Dustin Waldron,Portland State,OT,77,305,5.23,26,29,103,7.93,4.75,0,,
Dwayne Allen,Clemson,TE,75,255,4.85,32,27,110,7.12,4.37,1,64,2012
Dwayne Gratz,Connecticut,CB,71,201,4.47,38,22,125,6.7,4.15,1,64,2013
Dyami Brown,North Carolina,WR,73,189,4.46,35,18,128,6.87,4.35,1,82,2021
Dylan Cantrell,Texas Tech,WR,75,226,4.59,38.5,18,130,6.56,4.03,1,191,2018
Dylan Donahue,West Georgia,OLB,75,248,4.75,29.5,26,116,7.02,4.46,1,181,2017
Earl Watford,James Madison,OG,75,300,5.06,30,24,107,7.77,5,1,116,2013
Earnest Brown,Northwestern,DE,76,270,5.01,31,25,115,7.19,4.5,0,,
Eathyn Manumaleuna,BYU,DT,74,296,5.16,28,29,101,7.78,4.61,0,,
Eddie Pleasant,Oregon,S,70,211,4.53,33.5,22,116,7.12,4.28,0,,
Eddie Vanderdoes,UCLA,DT,75,305,4.99,28.5,28,111,7.69,4.39,1,88,2017
Edmond Robinson,Newberry,OLB,75,245,4.61,37,20,121,7.49,4.38,1,232,2015
Edmund Kugbila,Valdosta State,OG,76,317,5.13,22.5,23,105,7.72,4.65,1,108,2013
Edwin Baker,Michigan State,RB,68,204,4.44,35,20,111,7.27,4.31,1,250,2012
Eli Stove,Auburn,WR,71,194,4.54,30.5,14,119,7.34,4.4,0,,
Elijah McGuire,Louisiana,RB,70,214,4.53,36,15,120,7.26,4.56,1,188,2017
Elijah Mitchell,Louisiana,RB,70,201,4.38,37.5,17,128,6.94,4.19,1,194,2021
Elijah Ponder,Cincinnati,DT,73,268,5.06,30,27,101,7.45,4.53,0,,
Elijah Qualls,Washington,DT,73,313,5.13,31.5,33,105,7.65,4.66,1,214,2017
Ellis McCarthy,UCLA,DT,77,338,5.21,32,24,109,8.16,5.07,0,,
Emeke Egbule,Houston,LB,74,245,4.65,33,20,119,7.38,4.38,1,200,2019
Emil Igwenagu,Massachusetts,FB,73,249,4.7,34.5,19,121,7.32,4.4,0,,
Emmanuel Ogbah,Oklahoma State,DE,76,273,4.63,35.5,20,121,7.26,4.5,1,32,2016
Emmett Cleary,Boston Col.,OT,79,316,5.21,28.5,24,108,7.81,4.7,0,,
Eno Benjamin,Arizona State,RB,69,207,4.57,39,12,122,6.97,4.25,1,222,2020
Eric Burrell,Wisconsin,S,71,197,4.73,35.5,8,124,7.21,4.26,0,,
Eric Fisher,Central Michigan,OT,79,306,5.05,28.5,27,116,7.59,4.44,1,1,2013
Eric Herman,Ohio,OG,76,320,5.25,28,36,95,7.99,5.09,1,225,2013
Eric Murray,Minnesota,CB,71,199,4.49,39.5,15,124,7.08,4.05,1,106,2016
Eric Page,Toledo,WR,69,186,4.5,30,15,112,6.95,3.98,0,,
Eric Reid,LSU,S,73,213,4.53,40.5,17,134,6.99,4.22,1,18,2013
Eric Rowe,Utah,CB,73,205,4.45,39,19,125,6.7,3.97,1,47,2015
Eric Stokes,Georgia,CB,73,194,4.31,38.5,14,128,6.96,4.36,1,29,2021
Eric Striker,Oklahoma,OLB,71,227,4.8,30,23,116,7.3,4.46,0,,
Eric Tomlinson,Texas-El Paso,TE,78,263,4.98,30.5,19,110,7.46,4.54,0,,
Erik Austell,Charleston Southern,OG,75,301,5.23,27.5,24,107,8.13,4.9,0,,
Erik McCoy,Texas A&M,OL,76,303,4.89,31,29,107,8.28,4.62,1,48,2019
Essang Bassey,Wake Forest,CB,69,191,4.46,39.5,12,128,6.95,4.13,0,,
Ethan Cooper,Indiana (PA),OG,74,322,5.36,24.5,26,99,8.02,4.88,0,,
Ethan Pocic,LSU,C,78,310,5.15,27,26,107,7.89,4.81,1,58,2017
Ethan Tucky,Cincinnati,LB,73,231,4.62,31.5,21,115,7.08,4.3,0,,
Ethan Westbrooks,West Texas A&M,DE,75,267,4.9,29,19,110,7.3,4.67,0,,
Evan Boehm,Missouri,C,74,302,5.33,28.5,24,96,7.52,4.69,1,128,2016
Evan Engram,Mississippi,TE,75,234,4.42,36,19,125,6.92,4.23,1,23,2017
Evan Rodriguez,Temple,FB,73,239,4.53,36,18,119,6.94,4.28,1,111,2012
Evan Tyler,Boise St.,S,73,199,4.58,33,13,117,7.14,4.32,0,,
Evan Weaver,California,LB,74,237,4.76,32,15,117,7.02,4.21,1,202,2020
Evan Worthington,Colorado,S,74,212,4.63,33.5,17,121,7.07,4.37,0,,
Everett Dawkins,Florida State,DT,74,292,5.06,30,23,103,7.61,4.88,1,229,2013
Ezell Ruffin,San Diego State,WR,73,218,4.68,27.5,17,110,7.35,4.58,0,,
Ezra Cleveland,Boise State,OL,78,311,4.93,30,30,111,7.26,4.46,1,58,2020
Fadol Brown,Mississippi,DE,76,273,4.94,34,19,115,7.24,4.44,0,,
Fahn Cooper,Mississippi,OT,76,303,5.17,25,19,102,7.85,4.89,1,174,2016
Fletcher Cox,Mississippi State,DT,76,298,4.77,26,30,103,7.07,4.53,1,12,2012
Foley Fatukasi,Connecticut,DT,76,318,5.29,30,33,112,7.44,4.53,0,,
Forrest Lamp,Western Kentucky,OG,76,309,5,27.5,34,111,7.55,4.62,1,38,2017
Forrest Merrill,Arkansas St.,DL,73,322,5.27,26.5,36,101,8.24,4.81,0,,
Foster Moreau,LSU,TE,76,253,4.66,36.5,22,121,7.16,4.11,1,137,2019
Foster Sarell,Stanford,OL,78,318,5.54,27,26,97,7.63,4.69,0,,
Frank Clark,Michigan,DE,75,271,4.79,38.5,19,118,7.08,4.05,1,63,2015
Frank Darby,Arizona St.,WR,73,201,4.56,34.5,19,117,7.05,4.25,1,187,2021
Fred Ross,Mississippi State,WR,73,213,4.51,35,10,113,6.99,4.28,0,,
Fred Warner,BYU,OLB,75,236,4.64,38.5,21,119,6.9,4.28,1,70,2018
Freddie Stevenson,Florida State,FB,73,234,4.75,28,24,111,7.65,4.45,0,,
Freddie Swain,Florida,WR,73,197,4.46,36.5,16,124,7.05,4.26,1,214,2020
Gabe Ikard,Oklahoma,C,76,304,5.13,26,22,103,7.3,4.37,0,,
Gabe Jackson,Mississippi State,OG,75,336,5.34,29,30,108,8.25,4.78,1,81,2014
Gabe Marks,Washington State,WR,71,189,4.56,29.5,11,117,7.01,4.2,0,,
Gabe Wright,Auburn,DT,75,300,5.07,26.5,34,100,7.73,4.56,1,113,2015
Gabriel Davis,UCF,WR,74,216,4.54,35,14,124,7.08,4.59,1,128,2020
Gareon Conley,Ohio State,CB,73,195,4.44,37,11,129,6.68,4.18,1,24,2017
Garrett Bradbury,North Carolina State,OL,75,306,4.92,31,34,104,7.41,4.53,1,18,2019
Garrett Gilkey,Chadron State,OT,78,318,5.29,30,28,108,7.65,4.75,1,227,2013
Garrett Groshek,Wisconsin,RB,71,217,4.64,33.5,17,115,7.08,4.32,0,,
Garrett Sickels,Penn State,DE,75,261,4.9,28,20,105,7.21,4.41,0,,
Garry Peters,Clemson,CB,73,191,4.61,32.5,7,119,6.8,4,0,,
Garth Gerhart,Arizona State,C,73,305,5.38,30.5,25,96,7.63,4.65,0,,
Gary Brightwell,Arizona,RB,70,218,4.62,34.5,17,118,7.51,4.48,1,196,2021
Gary Jennings,West Virginia,WR,73,214,4.42,37,20,127,7.32,4.15,1,120,2019
Gary Johnson,Texas,LB,73,226,4.43,33.5,16,121,7.15,4.57,0,,
Genard Avery,Memphis,ILB,73,248,4.59,36,26,124,6.9,4.36,1,150,2018
